BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2566621,02334223',COVE HOME LLC,30-136116600,23,99030544,PRDTS OF INDIA  NTE 52,APERITIF BOWL LARGE,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,1072.8,IN,6802910500,,,,,,,STONE MRBLE SLABS WRK NOT,,,,,,
2566941,02335238',MALLAGHAN (GA) INC.,36-488102800,1,99030581,PRDTS OF GB  NTE 52,CATERING TRUCK CABIN ASSEMBLY PART,MALLAGHAN ENGINEERING  LTD,8/24/2026,8/24/2026,7/30/2026,Vessel Container,27783.95,GB,99038201,8431200000,,,,,,DOES NOT CONTAIN ANY ALU  STL,MACH PARTS UNDER 8427,,,,,
2566988,02337432',AUMUND CORPORATION,58-138896800,1,99030590,ARTS ALU STL COP DER ALU  DER,BUCKET ELEVATOR,AUMUND FOERDERTECHNIK GMBH,8/24/2026,8/24/2026,8/04/2026,Vessel Container,58463.13,DE,99038210,8428320000,,,,,,DER ALU & STL COL 1 < 15%NT16,CONVEYOR BUCKET  OTHER  GOODS,,,,,
2566988,02337432',AUMUND CORPORATION,58-138896800,2,99030539,PRDT OF MEMBER STATE OF THE EU,MAIN DRIVE UNIT,AUMUND FOERDERTECHNIK GMBH,8/24/2026,8/24/2026,8/04/2026,Vessel Container,23759.87,DE,8483405010,,,,,,,FIXED RATIO SPEED CHANGERS OTH,,,,,,
2566988,02337432',AUMUND CORPORATION,58-138896800,3,99030539,PRDT OF MEMBER STATE OF THE EU,SPLICE KIT,AUMUND FOERDERTECHNIK GMBH,8/24/2026,8/24/2026,8/04/2026,Vessel Container,3846.19,DE,4010110000,,,,,,,CONVEYOR BELTS:REINFRCD W/,,,,,,
2566988,02337432',AUMUND CORPORATION,58-138896800,4,99030590,ARTS ALU STL COP DER ALU  DER,BACKING STRIPS,AUMUND FOERDERTECHNIK GMBH,8/24/2026,8/24/2026,8/04/2026,Vessel Container,105.75,DE,99038210,8431390010,,,,,,DER ALU & STL COL 1 < 15%NT16,MACHINERY PTS OF CONVEY/ELEV,,,,,
2566988,02337432',AUMUND CORPORATION,58-138896800,5,99030590,ARTS ALU STL COP DER ALU  DER,HARDWARE,AUMUND FOERDERTECHNIK GMBH,8/24/2026,8/24/2026,8/04/2026,Vessel Container,1357.07,DE,99038202,7318152095,,,,,,ALU  STL  COP DER ALU  DER STL,OTHER BOLTS NSPF THRD DI=>6MM,,,,,
2567022,02338430',IMS GEAR VIRGINIA LLC,20-800570900,1,99030539,PRDT OF MEMBER STATE OF THE EU,GEAR HOUSING PARTS,ADOLF FOHL GMBH & CO.,8/24/2026,8/25/2026,8/09/2026,Vessel Container,103202.35,DE,99038201,8483409000,,,,,,DOES NOT CONTAIN ANY ALU  STL,GEARS AND GEARING,,,,,
4539892,02340519',CANTRELL GAINCO GROUP INC,31-151121700,1,99038803,ARTICLE OF CHINA US NTE 20(F),DISPLAY MONITOR,FAST TURN PCB INT,8/24/2026,8/19/2026,8/19/2026,Air Non-container,1339.41,CN,99030531,99039406,8537109170,,,,,PRDTS OF CHINA  NOTE 52,CLS UN NT33(G/H)USMCA SB (P),BOARDS ETC  <=1000V  OTHR OTHR,,,,
4539892,02340519',CANTRELL GAINCO GROUP INC,31-151121700,2,99038803,ARTICLE OF CHINA US NTE 20(F),INVERTER,FAST TURN PCB INT,8/24/2026,8/19/2026,8/19/2026,Air Non-container,1019.85,CN,99030531,8504409571,,,,,,PRDTS OF CHINA  NOTE 52,ELECTRC INVERTRS  OTHER,,,,,
2566626,02331880',GRASS AMERICA INC,51-066023000,1,99038815,ARTICLE OF CHINA US NTE 20(R),FURNITURE PARTS,SACA PRECISION LTD,8/25/2026,8/25/2026,7/13/2026,Vessel Container,51832,CN,99030590,99038209,8302423015,,,,,ARTS ALU STL COP DER ALU  DER,COP  DER ALU & STL  NT16(C)(VI,DRWRSLIDES FR FURN IR/ST/AL/ZN,,,,
