BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
4539366,02321782',PROGETTI PLANT S.R.L. LLC,98-178019600,4,99038801,ARTICLE OF CHINA US NTE 20(A),OMRON CO LTD,6/05/2026,6/03/2026,6/03/2026,Air Non-container,52.22,CN,99030301,8402120000,,,,,,SECTION 122 - 10% DUTY,WATERTUBE BOILRS W/STM PRO<=45,,,,,
4539366,02321782',PROGETTI PLANT S.R.L. LLC,98-178019600,5,99030301,SECTION 122 - 10% DUTY,PROGETTI PLANT SRL,6/05/2026,6/03/2026,6/03/2026,Air Non-container,174.08,LK,8402120000,,,,,,,WATERTUBE BOILRS W/STM PRO<=45,,,,,,
4539366,02321782',PROGETTI PLANT S.R.L. LLC,98-178019600,6,99030301,SECTION 122 - 10% DUTY,PROGETTI PLANT SRL,6/05/2026,6/03/2026,6/03/2026,Air Non-container,812.35,LK,8402120000,,,,,,,WATERTUBE BOILRS W/STM PRO<=45,,,,,,
4539431,02323077',CANTRELL GAINCO GROUP INC,31-151121700,1,99030307,S 122-EXCLUSION  CANADA USMCA,FORTRESS TECHNOLOGY,6/05/2026,6/03/2026,6/03/2026,Air Non-container,1210,XO,99039406,8537108000,,,,,,CLS UN NT33(G/H)USMCA SB (P),TOUCH SENSITIVE DEV W/O DI,,,,,
2565802,02323093',VENUS WIRE INDUSTRIES PRIVATE LTD,993901-03595,1,99030306,S122 EXCL IRN/STL/ALUM DERIV,VENUS WIRE INDUSTRIES PRIVATE LIMITED,6/05/2026,6/13/2026,4/26/2026,Vessel Container,58833.49,IN,99038202,7223001031,,,,,,ALU  STL  COP DER ALU  DER STL,WIRE S STEEL RND D.25-LT.7,,,,,
4539410,02322723',PRO WATER PARTS INC,45-528809200,1,99030301,SECTION 122 - 10% DUTY,TEFEN FLOW & DOSING TECHNOLOGIES,6/05/2026,5/28/2026,5/25/2026,Air Non-container,25000,IL,3917400050,,,,,,,OTH PLMBI FIT NOT PRES RTD OTH,,,,,,
4539380,02322947',VISUAL CREATIONS  INC.,20-461602300,1,99038803,ARTICLE OF CHINA US NTE 20(F),XIAMEN CUBES INDUSTRIAL & TRADING C,6/05/2026,6/05/2026,6/05/2026,Air Non-container,6921.94,CN,99030301,9403999045,,,,,,SECTION 122 - 10% DUTY,OTH FURN PRT METAL PRTS OTHER,,,,,
4539380,02322947',VISUAL CREATIONS  INC.,20-461602300,2,99038803,ARTICLE OF CHINA US NTE 20(F),XIAMEN CUBES INDUSTRIAL & TRADING C,6/05/2026,6/05/2026,6/05/2026,Air Non-container,777.11,CN,99030301,9403200075,,,,,,SECTION 122 - 10% DUTY,BLTLESS PRESS FIT DESC ST NT3,,,,,
2615768,02322962',GRASS AMERICA INC,51-066023000,1,99030301,SECTION 122 - 10% DUTY,GRASS GMBH,6/05/2026,6/04/2026,6/03/2026,Truck Non-container,7109.19,AT,99038209,8302423015,,,,,,COP  DER ALU & STL  NT16(C)(VI,DRWRSLIDES FR FURN IR/ST/AL/ZN,,,,,
2565067,02306403',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,TAT NISASTA INS SAN TIC AS,6/06/2026,6/06/2026,3/18/2026,Vessel Container,8606.25,TR,1108120010,,,,,,,CORN (MAIZE) STARCH F/FOOD,,,,,,
2565577,02312922',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,,TAT NISASTA INS SAN TIC AS,6/06/2026,6/06/2026,4/20/2026,Vessel Container,20000,TR,1108120010,,,,,,,CORN (MAIZE) STARCH F/FOOD,,,,,,
2565597,02315255',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,EMSLAND-STARKE GMBH,6/06/2026,6/05/2026,4/30/2026,Vessel Container,15939.66,DE,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2565428,02315990',CASTLE CHEMICALS LTD,151704-07138,1,99030303,S122 -EXCLUSION-EXEMPTED PRDTS,HUBEI JIANGHAN NEW MATERIALS CO,6/06/2026,6/06/2026,3/28/2026,Vessel Container,150066,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2565792,02317012',MALLAGHAN (GA) INC.,36-488102800,1,99030306,S122 EXCL IRN/STL/ALUM DERIV,MALLAGHAN ENGINEERING  LTD,6/06/2026,6/06/2026,5/08/2026,Vessel Non-container,231177,GB,99038205,8427208020,,,,,,DER ALU  STL NT16(C)(VI-VII)GB,SELF PROP TRK NT RDR AER W,,,,,
2565841,02317020',MALLAGHAN (GA) INC.,36-488102800,1,99030306,S122 EXCL IRN/STL/ALUM DERIV,MALLAGHAN ENGINEERING  LTD,6/06/2026,6/06/2026,5/08/2026,Vessel Non-container,230379,GB,99038205,8427208020,,,,,,DER ALU  STL NT16(C)(VI-VII)GB,SELF PROP TRK NT RDR AER W,,,,,
2565876,02318531',AMERICAN FIREWORKS COMPANY,34-006522000,1,99038802,ARTICLE OF CHINA US NTE 20(C),LIUYANG LINGCHENG TECHNOLOGY CO  LTD,6/06/2026,6/13/2026,5/14/2026,Vessel Container,16589.48,CN,99030301,3917290090,,,,,,SECTION 122 - 10% DUTY,PLASTICS TUBES PIPES HOSES,,,,,
2565876,02318531',AMERICAN FIREWORKS COMPANY,34-006522000,2,99038802,ARTICLE OF CHINA US NTE 20(C),LIUYANG LINGCHENG TECHNOLOGY CO  LTD,6/06/2026,6/13/2026,5/14/2026,Vessel Container,17926.27,CN,99030306,99038210,8424899000,,,,,S122 EXCL IRN/STL/ALUM DERIV,DER ALU & STL COL 1 < 15%NT16,SPRAYING APPARATUS:OTHER:NSPF,,,,
2565856,02318242',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,JACKERING MUHLEN UND NAHRMITTELWERKE GMBH,6/06/2026,6/06/2026,5/12/2026,Vessel Container,27074.52,DE,1109009020,,,,,,,WHEAT GLUTEN  OTHER,,,,,,
2565901,02318630',MDE MACHINERY INC,38-438331300,1,99030301,SECTION 122 - 10% DUTY,MDE MACHINERY LTD,6/06/2026,6/10/2026,5/14/2026,Vessel Container,95676.59,GB,8436800020,,,,,,,FORESTRY MACHINERY,,,,,,
