BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2566033,02320669',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,JACKERING MUHLEN UND NAHRMITTELWERKE GMBH,6/07/2026,6/15/2026,5/23/2026,Vessel Container,84096.88,DE,1109009020,,,,,,,WHEAT GLUTEN  OTHER,,,,,,
2565912,02320867',TEUFELBERGER G.E.S.M.B.H,181704-13780,1,99030301,SECTION 122 - 10% DUTY,TEUFELBERGER GMBH,6/07/2026,6/07/2026,5/20/2026,Vessel Container,33298.38,AT,3920620090,,,,,,,PLAST FLAT POLYETHYLENE TEREP,,,,,,
2565916,02320891',TEUFELBERGER G.E.S.M.B.H,181704-13780,1,99030301,SECTION 122 - 10% DUTY,TEUFELBERGER GMBH,6/07/2026,6/07/2026,5/21/2026,Vessel Container,24400.92,AT,3920620090,,,,,,,PLAST FLAT POLYETHYLENE TEREP,,,,,,
2565917,02320917',TEUFELBERGER G.E.S.M.B.H,181704-13780,1,99030301,SECTION 122 - 10% DUTY,TEUFELBERGER GMBH,6/07/2026,6/07/2026,5/22/2026,Vessel Container,25111.7,AT,3920620090,,,,,,,PLAST FLAT POLYETHYLENE TEREP,,,,,,
4539363,02321733',VISUAL CREATIONS  INC.,20-461602300,1,99038815,ARTICLE OF CHINA US NTE 20(R),FUJIAN ANTAI NEW ENERGY TECH CO LTD,6/07/2026,6/07/2026,6/07/2026,Air Non-container,6265.73,CN,99030306,99038209,8302423065,,,,,S122 EXCL IRN/STL/ALUM DERIV,COP  DER ALU & STL  NT16(C)(VI,OTH MNTNGS FR FURN IR/ST/AL/ZN,,,,
2615763,02322327',LHOIST NORTH AMERICA  INC.,52-212063700,1,99030308,S 122-EXCLUSION  MEXICO USMCA,DISENOS DE MAQUINAS INDUSTRIALES   SA DE CV,6/07/2026,6/03/2026,6/01/2026,Truck Non-container,96619.43,MX,99038210,8431390010,,,,,,DER ALU & STL COL 1 < 15%NT16,MACHINERY PTS OF CONVEY/ELEV,,,,,
2566101,02322434',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030301,SECTION 122 - 10% DUTY,KROENER-STARKE BIO GMBH,6/07/2026,6/07/2026,5/27/2026,Vessel Container,86211,DE,1109009010,,,,,,,WHEAT GLUTEN OTH CERT ORGANIC,,,,,,
4539405,02322616',FPG USA LLC DBA FOOD PHYSICS,84-461929600,1,99030306,S122 EXCL IRN/STL/ALUM DERIV,ELEA VERTRIEBS UND VERMARKTUNGS GMBH,6/07/2026,6/05/2026,6/05/2026,Air Non-container,18261.24,DE,99038202,7220206005,,,,,,ALU  STL  COP DER ALU  DER STL,STEEL HIGH-NI ALLOY.F-R >1,,,,,
4539405,02322616',FPG USA LLC DBA FOOD PHYSICS,84-461929600,2,99030306,S122 EXCL IRN/STL/ALUM DERIV,ELEA VERTRIEBS UND VERMARKTUNGS GMBH,6/07/2026,6/05/2026,6/05/2026,Air Non-container,62.28,DE,99038202,7318154000,,,,,,ALU  STL  COP DER ALU  DER STL,MACHINE SCREWS>=9.5LONG&3.2DIA,,,,,
4539405,02322616',FPG USA LLC DBA FOOD PHYSICS,84-461929600,3,99030306,S122 EXCL IRN/STL/ALUM DERIV,ELEA VERTRIEBS UND VERMARKTUNGS GMBH,6/07/2026,6/05/2026,6/05/2026,Air Non-container,199.46,DE,99038202,7318158069,,,,,,ALU  STL  COP DER ALU  DER STL,OTHER HEX SCREWS:THR DIA >=6MM,,,,,
4539405,02322616',FPG USA LLC DBA FOOD PHYSICS,84-461929600,4,99030301,SECTION 122 - 10% DUTY,ELEA VERTRIEBS UND VERMARKTUNGS GMBH,6/07/2026,6/05/2026,6/05/2026,Air Non-container,1494.57,DE,8536308000,,,,,,,OTH APPARATUS PROTECTING C,,,,,,
